iter	MAE
0	15.324146
1	15.32017325
2	15.30771102
3	15.29759313
4	15.28605932
5	15.27893639
6	15.26531082
7	15.25503178
8	15.25086365
9	15.24180591
10	15.23472025
11	15.22301465
12	15.21683506
13	15.21044068
14	15.20359677
15	15.19976598
16	15.19633335
17	15.18998247
18	15.18416669
19	15.18100647
20	15.17765382
21	15.16944983
22	15.16725027
23	15.16235214
24	15.15559318
25	15.15358517
26	15.14952158
27	15.14771026
28	15.14648048
29	15.14408324
30	15.14206351
31	15.13986774
32	15.13786091
33	15.13559113
34	15.13054087
35	15.12848142
36	15.12763539
37	15.12680044
38	15.12532939
39	15.12405559
40	15.12231867
41	15.12091636
42	15.11652695
43	15.11476774
44	15.11330451
45	15.11180238
46	15.11041036
47	15.10937448
48	15.10337247
49	15.1019129
50	15.10138679
51	15.09997863
52	15.09878524
53	15.09794424
54	15.09741093
55	15.09653289
56	15.09522204
57	15.09485806
58	15.09104205
59	15.09021927
60	15.08784876
61	15.08519993
62	15.08309626
63	15.08275713
64	15.08164349
65	15.07707655
66	15.07642849
67	15.07628193
68	15.07562672
69	15.07539178
70	15.07510093
71	15.07454624
72	15.0742358
73	15.07265937
74	15.07237658
75	15.07210878
76	15.07198389
77	15.06930078
78	15.06833059
79	15.06736789
80	15.0664367
81	15.06557214
82	15.06534055
83	15.0643449
84	15.06341798
85	15.06036471
86	15.05936546
87	15.05870209
88	15.05858993
89	15.05808705
90	15.05783889
91	15.0556752
92	15.05510793
93	15.05436418
94	15.05352103
95	15.05137483
96	15.04995368
97	15.04950191
98	15.04929398
99	15.04898157
100	15.04872166
101	15.04807587
102	15.04806645
103	15.0457751
104	15.04509999
105	15.04147711
106	15.04004306
107	15.03993152
108	15.0397313
109	15.03847376
110	15.03813564
111	15.03773683
112	15.03680832
113	15.03631971
114	15.03631507
115	15.03622791
116	15.0354763
117	15.03527173
118	15.03422549
119	15.0342218
120	15.03111357
121	15.03085758
122	15.03030288
123	15.02923847
124	15.02886996
125	15.02866757
126	15.02823615
127	15.02783629
128	15.02769232
129	15.02752252
130	15.02638955
131	15.02595515
132	15.0250864
133	15.02466012
134	15.02421899
135	15.02179241
136	15.02077391
137	15.01951843
138	15.01913382
139	15.01836182
140	15.01762126
141	15.01751362
142	15.01716489
143	15.01478099
144	15.01448013
145	15.01425673
146	15.01393396
147	15.01382573
148	15.01381831
149	15.01269745
150	15.01200727
151	15.01166277
152	15.01114811
153	15.01105138
154	15.0106764
155	15.01061126
156	15.01028944
157	15.00970281
158	15.00944578
159	15.00919986
160	15.00882713
161	15.00882713
162	15.00835059
163	15.00771111
164	15.00746702
165	15.0071538
166	15.00709272
167	15.00708815
168	15.00675131
169	15.00661135
170	15.00445704
171	15.00427057
172	15.00087654
173	15.00061612
174	15.0006006
175	14.99968459
176	14.99934766
177	14.99932847
178	14.99891656
179	14.99873727
180	14.99822094
181	14.99814125
182	14.99513615
183	14.99500296
184	14.99470273
185	14.99454689
186	14.99424714
187	14.99390612
188	14.99390334
189	14.99385992
190	14.99375228
191	14.99363307
192	14.99349097
193	14.99112131
194	14.9910902
195	14.98967913
196	14.98933036
197	14.98932712
198	14.98899073
199	14.98859574
200	14.98836618
201	14.98792526
202	14.98789911
203	14.98691296
204	14.98606207
205	14.98563782
206	14.98546097
207	14.983998
208	14.98397781
209	14.9839431
210	14.98392699
211	14.98328316
212	14.98248538
213	14.98022513
214	14.97924295
215	14.97917534
216	14.97895823
217	14.97880295
218	14.97815482
219	14.97721769
220	14.97628963
221	14.97622525
222	14.97617315
223	14.97617019
224	14.97556061
225	14.97548301
226	14.97518957
227	14.97513197
228	14.97353274
229	14.97172929
230	14.97160194
231	14.97105415
232	14.97097423
233	14.97081612
234	14.97059946
235	14.9691982
236	14.96876416
237	14.96834887
238	14.96813209
239	14.96809734
240	14.96792038
241	14.96790989
242	14.96764398
243	14.96736894
244	14.96733265
245	14.96691323
246	14.96646384
247	14.9664069
248	14.9658971
249	14.96469188
250	14.96423886
251	14.96306269
252	14.96198499
253	14.96179408
254	14.96096188
255	14.96082842
256	14.96014182
257	14.9598097
258	14.95927607
259	14.95816966
260	14.95807855
261	14.95806702
262	14.95771019
263	14.95722336
264	14.95704536
265	14.95653399
266	14.95630897
267	14.9561819
268	14.95595957
269	14.95418882
270	14.95230192
271	14.95174171
272	14.9510925
273	14.95066389
274	14.95064823
275	14.95011469
276	14.94997136
277	14.94904342
278	14.94903617
279	14.94898761
280	14.94894774
281	14.94894131
282	14.94892536
283	14.94883753
284	14.94881516
285	14.94878569
286	14.94869628
287	14.94867898
288	14.94864715
289	14.94862834
290	14.9485284
291	14.94851998
292	14.94812644
293	14.94810341
294	14.94807744
295	14.94805273
296	14.94804164
297	14.94801106
298	14.94799023
299	14.94798931
300	14.94798557
301	14.94793779
302	14.94758505
303	14.94700661
304	14.94698721
305	14.94697067
306	14.94696227
307	14.94694934
308	14.94694059
309	14.94688239
310	14.94686919
311	14.94685861
312	14.94685462
313	14.9466685
314	14.9466577
315	14.94664767
316	14.94661245
317	14.94658622
318	14.9465835
319	14.94657112
320	14.94621979
321	14.94620502
322	14.9461976
323	14.94619068
324	14.94616318
325	14.9461486
326	14.94579621
327	14.94561073
328	14.94535541
329	14.94525475
330	14.94525299
331	14.94518936
332	14.94508806
333	14.94508244
334	14.94492831
335	14.94492287
336	14.94478803
337	14.94477047
338	14.94476326
339	14.94468017
340	14.94465745
341	14.94451712
342	14.94451049
343	14.94451029
344	14.94449298
345	14.94448989
346	14.94448237
347	14.94447434
348	14.94447164
349	14.94447017
350	14.94439571
351	14.94430827
352	14.94428104
353	14.94427307
354	14.94419638
355	14.94412853
356	14.94412762
357	14.94412586
358	14.9441039
359	14.94400492
360	14.94398409
361	14.9439062
362	14.9438105
363	14.94380649
364	14.94380028
365	14.9437991
366	14.94367696
367	14.94366197
368	14.94364659
369	14.94364231
370	14.94359642
371	14.94353992
372	14.94353478
373	14.94351103
374	14.94351035
375	14.94348408
376	14.94344956
377	14.94344882
378	14.94343415
379	14.94343232
380	14.94341318
381	14.94340904
382	14.94334583
383	14.9433401
384	14.94332333
385	14.94330875
386	14.94330073
387	14.94303089
388	14.94296467
389	14.94295887
390	14.94291736
391	14.94284078
392	14.94282532
393	14.94271553
394	14.94271523
395	14.94267661
396	14.94266859
397	14.94265823
398	14.94262101
399	14.94258811
400	14.94257426
401	14.94257251
402	14.94249912
403	14.94248536
404	14.94245615
405	14.94244358
406	14.94243991
407	14.94242823
408	14.9423351
409	14.94233035
410	14.94231293
411	14.94224678
412	14.94214956
413	14.94214364
414	14.94211724
415	14.94210944
416	14.94205369
417	14.94205103
418	14.9415518
419	14.94155068
420	14.94154953
421	14.94154078
422	14.94151838
423	14.9415169
424	14.94151531
425	14.94151415
426	14.94151072
427	14.94150202
428	14.94147952
429	14.94147643
430	14.94046133
431	14.94045733
432	14.9404492
433	14.94044769
434	14.94044209
435	14.94044094
436	14.9404349
437	14.9404293
438	14.9404248
439	14.94042159
440	14.93904321
441	14.93900618
442	14.93900498
443	14.93887971
444	14.93887775
445	14.9388684
446	14.93886514
447	14.9388604
448	14.93885744
449	14.93885276
450	14.93874905
451	14.9386375
452	14.93863671
453	14.9386317
454	14.93862988
455	14.93859829
456	14.93857565
457	14.93857467
458	14.93857461
459	14.93857426
460	14.9385726
461	14.93857096
462	14.93856268
463	14.93855843
464	14.93855645
465	14.93855463
466	14.93854972
467	14.93845536
468	14.93843026
469	14.93842696
470	14.93842413
471	14.93842133
472	14.93841431
473	14.93841197
474	14.93841041
475	14.93840926
476	14.93840318
477	14.9383982
478	14.93839066
479	14.93837508
480	14.93834292
481	14.93834049
482	14.93833245
483	14.93831148
484	14.93829352
485	14.93826848
486	14.93826665
487	14.93825963
488	14.93820837
489	14.9382047
490	14.93814661
491	14.93814324
492	14.93813566
493	14.93813115
494	14.93812685
495	14.93812463
496	14.93812124
497	14.93811929
498	14.93811849
499	14.93811776
500	14.93811422
501	14.93805255
502	14.93804564
503	14.93804261
504	14.93803976
505	14.93798756
506	14.93798693
507	14.93796407
508	14.93796049
509	14.93795989
510	14.9379593
511	14.93795742
512	14.93795689
513	14.93795309
514	14.93792804
515	14.93792562
516	14.93792517
517	14.93792474
518	14.93791972
519	14.93791963
520	14.93704125
521	14.93565272
522	14.93559667
523	14.9355964
524	14.93555937
525	14.93555909
526	14.93517463
527	14.93516915
528	14.93512759
529	14.93512271
530	14.93512236
531	14.93511559
532	14.93509431
533	14.93502697
534	14.93387526
535	14.93384277
536	14.93379998
537	14.93379747
538	14.93376402
539	14.93358794
540	14.93354472
541	14.93351942
542	14.93270421
543	14.93270167
544	14.93238922
545	14.93237862
546	14.93237766
547	14.93237437
548	14.93222672
549	14.93222306
550	14.93222144
551	14.93222118
552	14.93221099
553	14.93212919
554	14.93212301
555	14.93144999
556	14.93142547
557	14.93138854
558	14.93075118
559	14.92995157
560	14.92978584
561	14.92946496
562	14.92945558
563	14.92925483
564	14.92899351
565	14.92897952
566	14.92897865
567	14.92897746
568	14.92897639
569	14.92897216
570	14.928972
571	14.92895672
572	14.92895342
573	14.92895301
574	14.9289514
575	14.92848154
576	14.92848148
577	14.92848121
578	14.9284687
579	14.9284677
580	14.92835693
581	14.92825074
582	14.92825053
583	14.92796909
584	14.92796889
585	14.92790234
586	14.92790229
587	14.92788807
588	14.9278563
589	14.92785475
590	14.92784553
591	14.92784524
592	14.92783493
593	14.92781924
594	14.9277738
595	14.92777233
596	14.92772947
597	14.92769746
598	14.92766144
599	14.92766111
600	14.92766095
601	14.92765796
602	14.92765265
603	14.92764171
604	14.92759326
605	14.92759312
606	14.92758561
607	14.92758554
608	14.92758536
609	14.92758505
610	14.92748207
611	14.9274339
612	14.92743106
613	14.92743094
614	14.92743081
615	14.92739312
616	14.92737152
617	14.92737013
618	14.92736847
619	14.92712448
620	14.92709278
621	14.92708314
622	14.92707321
623	14.92705836
624	14.92705805
625	14.92704018
626	14.92703493
627	14.92703429
628	14.92703415
629	14.92699015
630	14.92697964
631	14.92697806
632	14.92692304
633	14.92691207
634	14.92679914
635	14.92678485
636	14.92678434
637	14.92675906
638	14.92621937
639	14.92621119
640	14.92620318
641	14.92575622
642	14.92567183
643	14.9256695
644	14.92566732
645	14.92566031
646	14.92565723
647	14.92565712
648	14.92565705
649	14.92546509
650	14.9253744
651	14.92532686
652	14.92531663
653	14.92528829
654	14.92528752
655	14.92523753
656	14.92522338
657	14.92521598
658	14.92520735
659	14.92520723
660	14.92520452
661	14.92520236
662	14.9252007
663	14.92515473
664	14.92513212
665	14.92507876
666	14.9250667
667	14.92506565
668	14.9250014
669	14.92489991
670	14.92488329
671	14.92486678
672	14.92485115
673	14.92485101
674	14.92485088
675	14.92485068
676	14.92484968
677	14.9248487
678	14.92481082
679	14.92472357
680	14.92471606
681	14.92468382
682	14.92467942
683	14.92467057
684	14.92458807
685	14.92422068
686	14.92421866
687	14.92421116
688	14.92421099
689	14.92421014
690	14.92420644
691	14.92411491
692	14.92411084
693	14.92410761
694	14.92408204
695	14.92407937
696	14.92407801
697	14.92387209
698	14.92386576
699	14.92381381
700	14.92380203
701	14.92376025
702	14.92375395
703	14.92355512
704	14.92353574
705	14.92252031
706	14.92251732
707	14.92251649
708	14.92241248
709	14.92235715
710	14.92231206
711	14.92230588
712	14.91867088
713	14.91866626
714	14.91774801
715	14.91754041
716	14.91748288
717	14.91644899
718	14.91642817
719	14.91552827
720	14.9155279
721	14.91551731
722	14.91545913
723	14.91455453
724	14.91439659
725	14.91438387
726	14.91434195
727	14.91249811
728	14.91234826
729	14.91232612
730	14.91232492
731	14.91232478
732	14.91232468
733	14.91222247
734	14.91221622
735	14.91220973
736	14.91220574
737	14.91212274
738	14.91212102
739	14.91211511
740	14.91201864
741	14.91170609
742	14.91149232
743	14.91141498
744	14.9113997
745	14.91114634
746	14.91114615
747	14.91109371
748	14.91107267
749	14.91106366
750	14.9110629
751	14.91106182
752	14.91105773
753	14.91105584
754	14.91103743
755	14.91103727
756	14.91103475
757	14.91100697
758	14.91037409
759	14.9103583
760	14.91035161
761	14.91024082
762	14.91020894
763	14.91020871
764	14.91020404
765	14.91019157
766	14.91018395
767	14.91017154
768	14.91017092
769	14.91016774
770	14.91013564
771	14.91013548
772	14.91013508
