iter	Passed	Remaining
0	318	954284
1	469	704294
2	636	635695
3	796	596775
4	959	574729
5	1103	550451
6	1272	544156
7	1443	539873
8	1618	537993
9	1790	535444
10	1943	528030
11	2086	519438
12	2236	513793
13	2396	511120
14	2525	502542
15	2700	503712
16	2857	501458
17	3002	497349
18	3148	494039
19	3279	488624
20	3427	486274
21	3580	484619
22	3729	482694
23	3887	481999
24	4032	479876
25	4181	478343
26	4329	476731
27	4475	475020
28	4638	475227
29	4783	473600
30	4942	473400
31	5102	473291
32	5243	471419
33	5404	471461
34	5557	470758
35	5708	470011
36	5864	469657
37	6004	468029
38	6154	467295
39	6305	466594
40	6455	465897
41	6599	464827
42	6755	464532
43	6883	462461
44	7019	460962
45	7149	459148
46	7283	457629
47	7421	456444
48	7564	455577
49	7724	455718
50	7879	455607
51	8026	455022
52	8172	454397
53	8299	452766
54	8460	453047
55	8613	452819
56	8771	452887
57	8908	451900
58	9057	451508
59	9211	451366
60	9353	450658
61	9512	450748
62	9667	450710
63	9821	450579
64	9965	449992
65	10196	453300
66	10346	452914
67	10489	452272
68	10626	451408
69	10817	452809
70	10963	452286
71	11112	451898
72	11245	450881
73	11377	449874
74	11518	449210
75	11658	448555
76	11816	448578
77	11963	448157
78	12092	447129
79	12234	446544
80	12398	446794
81	12608	448676
82	12867	452212
83	13077	453989
84	13225	453541
85	13370	453040
86	13506	452250
87	13643	451473
88	13796	451248
89	13942	450823
90	14090	450433
91	14221	449522
92	14312	447385
93	14476	447544
94	14616	446967
95	14765	446648
96	14917	446444
97	15057	445883
98	15180	444848
99	15333	444659
100	15473	444133
101	15623	443897
102	15772	443630
103	15921	443344
104	16066	442989
105	16203	442374
106	16349	442060
107	16526	442546
108	16661	441909
109	16826	442086
110	16973	441758
111	17102	441012
112	17258	440934
113	17415	440892
114	17563	440603
115	17714	440414
116	17895	440966
117	18019	440113
118	18162	439725
119	18309	439417
120	18437	438695
121	18597	438727
122	18751	438597
123	18904	438452
124	19061	438409
125	19222	438447
126	19351	437780
127	19503	437608
128	19648	437282
129	19796	437046
130	19939	436687
131	20058	435819
132	20206	435571
133	20318	434579
134	20419	433348
135	20569	433160
136	20722	433056
137	20903	433511
138	21035	432961
139	21196	433008
140	21345	432820
141	21487	432474
142	21629	432139
143	21784	432059
144	21935	431897
145	22092	431866
146	22225	431361
147	22378	431237
148	22494	430412
149	22638	430127
150	22792	430029
151	22962	430250
152	23101	429860
153	23247	429627
154	23402	429540
155	23570	429707
156	23721	429550
157	23875	429449
158	24135	431244
159	24274	430875
160	24409	430426
161	24574	430503
162	24746	430704
163	24911	430785
164	25066	430683
165	25252	431122
166	25402	430926
167	25578	431179
168	25698	430486
169	25880	430826
170	26040	430818
171	26179	430444
172	26314	430002
173	26442	429462
174	26546	428538
175	26637	427413
176	26794	427354
177	26950	427276
178	27087	426894
179	27231	426623
180	27376	426376
181	27502	425829
182	27644	425546
183	27814	425685
184	27991	425921
185	28107	425243
186	28254	425024
187	28341	423923
188	28479	423569
189	28628	423406
190	28763	423023
191	28931	423121
192	29066	422741
193	29211	422516
194	29366	422419
195	29516	422267
196	29661	422038
197	29719	420579
198	29904	420923
199	30005	420071
200	30131	419598
201	30247	418968
202	30428	419250
203	30582	419162
204	30731	418993
205	30839	418276
206	31027	418643
207	31194	418727
208	31455	420063
209	31644	420415
210	31771	419960
211	31975	420514
212	32121	420300
213	32291	420398
214	32423	419997
215	32560	419664
216	32689	419243
217	32814	418763
218	32961	418564
219	33093	418181
220	33218	417706
221	33344	417253
222	33494	417102
223	33633	416810
224	33783	416665
225	33941	416608
226	34088	416426
227	34231	416187
228	34375	415954
229	34506	415573
230	34643	415272
231	34792	415113
232	34941	414951
233	35083	414708
234	35228	414499
235	35398	414586
236	35448	413263
237	35570	412791
238	35675	412137
239	35892	412766
240	36102	413302
241	36257	413210
242	36328	412171
243	36493	412200
244	36767	413447
245	36999	414209
246	37205	414682
247	37476	415867
248	37589	415296
249	37836	416206
250	38077	417026
251	38153	416059
252	38313	415994
253	38496	416183
254	38583	415343
255	38706	414889
256	38912	415314
257	39093	415482
258	39305	415975
259	39440	415642
260	39557	415121
261	39705	414940
262	39825	414455
263	39976	414305
264	40128	414153
265	40175	412929
266	40311	412631
267	40414	411990
268	40540	411588
269	40697	411492
270	40876	411634
271	41004	411255
272	41150	411051
273	41302	410915
274	41409	410331
275	41516	409749
276	41660	409541
277	41740	408694
278	41810	407760
279	41914	407168
280	42024	406638
281	42203	406772
282	42345	406544
283	42499	406442
284	42730	407064
285	42937	407457
286	43100	407427
287	43204	406840
288	43421	407317
289	43664	408041
290	43852	408234
291	44004	408095
292	44122	407641
293	44348	408186
294	44739	410239
295	44996	411052
296	45205	411411
297	45377	411444
298	45512	411133
299	45742	411684
300	45968	412192
301	46208	412816
302	46434	413315
303	46668	413878
304	46811	413626
305	47020	413964
306	47191	413963
307	47359	413934
308	47423	412998
309	47556	412667
310	47751	412876
311	48030	413803
312	48179	413608
313	48296	413133
314	48477	413210
315	48638	413123
316	48780	412866
317	48966	412983
318	49114	412773
319	49274	412677
320	49416	412421
321	49554	412130
322	49698	411895
323	49869	411889
324	50022	411720
325	50075	410743
326	50223	410543
327	50386	410461
328	50525	410194
329	50620	409568
330	50768	409372
331	50922	409220
332	51081	409113
333	51222	408858
334	51340	408428
335	51494	408273
336	51582	407611
337	51739	407486
338	51975	407988
339	52196	408364
340	52369	408360
341	52522	408199
342	52687	408135
343	52878	408270
344	53093	408585
345	53249	408451
346	53449	408650
347	53552	408109
348	53723	408081
349	53872	407894
350	54089	408216
351	54294	408444
352	54461	408387
353	54619	408261
354	54831	408533
355	54958	408175
356	55140	408228
357	55318	408241
358	55459	407989
359	55609	407806
360	55744	407509
361	55888	407274
362	56044	407134
363	56182	406861
364	56323	406610
365	56471	406407
366	56606	406116
367	56704	405559
368	56865	405452
369	57008	405219
370	57138	404896
371	57272	404599
372	57408	404325
373	57539	404006
374	57677	403742
375	57822	403523
376	57972	403348
377	58113	403105
378	58197	402468
379	58326	402142
380	58539	402404
381	58690	402227
382	58837	402029
383	58993	401890
384	59137	401675
385	59311	401659
386	59458	401459
387	59597	401204
388	59744	401007
389	59899	400869
390	60054	400724
391	60153	400205
392	60289	399938
393	60390	399438
394	60542	399276
395	60687	399068
396	60829	398836
397	60990	398737
398	61093	398256
399	61244	398087
400	61341	397573
401	61477	397309
402	61664	397377
403	61792	397061
404	61937	396858
405	62105	396800
406	62264	396689
407	62402	396439
408	62566	396358
409	62709	396138
410	62899	396219
411	63070	396178
412	63186	395797
413	63324	395547
414	63481	395420
415	63640	395306
416	63791	395139
417	63951	395031
418	64100	394854
419	64250	394681
420	64386	394425
421	64481	393919
422	64625	393710
423	64779	393564
424	64968	393633
425	65087	393277
426	65207	392923
427	65346	392692
428	65476	392399
429	65620	392194
430	65759	391965
431	65905	391771
432	66040	391513
433	66180	391286
434	66318	391051
435	66464	390857
436	66619	390725
437	66788	390667
438	66933	390469
439	67087	390327
440	67250	390235
441	67416	390163
442	67534	389810
443	67645	389419
444	67792	389234
445	67950	389117
446	68115	389035
447	68286	388988
448	68442	388855
449	68591	388683
450	68737	388495
451	68916	388496
452	69067	388331
453	69215	388158
454	69368	388004
455	69534	387927
456	69676	387718
457	69845	387658
458	69980	387409
459	70123	387204
460	70267	387002
461	70407	386783
462	70551	386584
463	70696	386395
464	70833	386157
465	71007	386121
466	71140	385865
467	71261	385542
468	71418	385414
469	71552	385165
470	71687	384920
471	71977	385505
472	72159	385510
473	72353	385581
474	72545	385634
475	72690	385442
476	72872	385444
477	73022	385279
478	73202	385270
479	73349	385084
480	73636	385633
481	73786	385463
482	73998	385620
483	74197	385704
484	74378	385694
485	74510	385431
486	74621	385057
487	74791	384991
488	74975	384996
489	75145	384928
490	75286	384711
491	75417	384444
492	75539	384133
493	75690	383969
494	75806	383624
495	75970	383527
496	76116	383340
497	76261	383145
498	76421	383027
499	76580	382903
500	76732	382743
501	76883	382577
502	77061	382550
503	77211	382380
504	77371	382259
505	77504	382010
506	77678	381959
507	77799	381646
508	77942	381445
509	78091	381268
510	78249	381142
511	78399	380971
512	78542	380772
513	78680	380546
514	78793	380195
515	78959	380105
516	79087	379832
517	79242	379690
518	79383	379482
519	79521	379254
520	79718	379312
521	79818	378909
522	79999	378889
523	80200	378963
524	80375	378911
525	80545	378839
526	80668	378545
527	80786	378227
528	80958	378162
529	81125	378074
530	81261	377840
531	81393	377593
532	81562	377513
533	81723	377395
534	81858	377160
535	82040	377143
536	82191	376979
537	82378	376979
538	82612	377196
539	82911	377706
540	83239	378348
541	83478	378577
542	83680	378642
543	83855	378584
544	84061	378660
545	84233	378587
546	84395	378466
547	84576	378434
548	84712	378196
549	84855	377992
550	85102	378248
551	85478	379077
552	85708	379257
553	85951	379487
554	86168	379606
555	86322	379446
556	86535	379545
557	86729	379559
558	86941	379649
559	87221	380034
560	87389	379932
561	87574	379904
562	87745	379814
563	87897	379641
564	88129	379815
565	88294	379696
566	88500	379754
567	88662	379625
568	88832	379526
569	88974	379313
570	89413	380358
571	89594	380305
572	89760	380191
573	89918	380037
574	90111	380035
575	90280	379930
576	90448	379819
577	90605	379664
578	90720	379335
579	90864	379123
580	91019	378960
581	91179	378818
582	91319	378592
583	91481	378458
584	91632	378276
585	91775	378064
586	91958	378016
587	92118	377875
588	92273	377711
589	92411	377475
590	92581	377374
591	92686	377009
592	92795	376658
593	92942	376463
594	93115	376375
595	93245	376112
596	93394	375922
597	93549	375762
598	93685	375524
599	93812	375249
600	93986	375164
601	94147	375024
602	94311	374900
603	94478	374785
604	94641	374654
605	94782	374436
606	94952	374333
607	95104	374159
608	95246	373948
609	95391	373745
610	95582	373725
611	95671	373308
612	95855	373257
613	96022	373143
614	96160	372915
615	96307	372722
616	96491	372672
617	96720	372794
618	96889	372687
619	97090	372703
620	97352	372949
621	97524	372851
622	97714	372819
623	97878	372691
624	98087	372734
625	98283	372724
626	98448	372598
627	98619	372494
628	98859	372647
629	98992	372398
630	99153	372256
631	99328	372166
632	99446	371864
633	99655	371900
634	99881	371998
635	100063	371935
636	100215	371758
637	100456	371909
638	100616	371763
639	100849	371881
640	101046	371869
641	101223	371784
642	101364	371566
643	101524	371416
644	101750	371508
645	102000	371685
646	102205	371701
647	102446	371843
648	102606	371689
649	102765	371538
650	102960	371513
651	103101	371292
652	103277	371198
653	103429	371018
654	103534	370668
655	103696	370524
656	103851	370357
657	104025	370254
658	104122	369880
659	104334	369913
660	104513	369828
661	104719	369840
662	104897	369752
663	105078	369673
664	105305	369756
665	105480	369656
666	105655	369557
667	105767	369236
668	105953	369174
669	106181	369258
670	106383	369250
671	106548	369114
672	106706	368955
673	106851	368749
674	107016	368613
675	107223	368619
676	107382	368462
677	107544	368315
678	107751	368322
679	107931	368237
680	108071	368014
681	108257	367947
682	108417	367794
683	108632	367824
684	108813	367740
685	108961	367545
686	109206	367677
687	109420	367705
688	109633	367726
689	109793	367568
690	109986	367522
691	110207	367571
692	110393	367501
693	110526	367254
694	110687	367100
695	110856	366971
696	111051	366932
697	111216	366790
698	111357	366570
699	111507	366382
700	111673	366244
701	111840	366111
702	112015	366002
703	112188	365887
704	112363	365779
705	112551	365711
706	112725	365600
707	112839	365292
708	113017	365195
709	113168	365007
710	113346	364907
711	113492	364706
712	113625	364463
713	113758	364216
714	113960	364195
715	114164	364178
716	114373	364175
717	114569	364133
718	114778	364130
719	114963	364052
720	115177	364062
721	115343	363923
722	115494	363734
723	115673	363637
724	115846	363517
725	116020	363404
726	116193	363285
727	116294	362941
728	116422	362683
729	116608	362605
730	116713	362273
731	116873	362117
732	117028	361940
733	117163	361707
734	117348	361623
735	117519	361501
736	117685	361359
737	117941	361495
738	118094	361314
739	118292	361270
740	118437	361067
741	118591	360887
742	118757	360747
743	118926	360617
744	119126	360578
745	119298	360454
746	119481	360363
747	119646	360219
748	119827	360121
749	120042	360128
750	120252	360115
751	120432	360016
752	120607	359900
753	120791	359812
754	120925	359573
755	121102	359461
756	121283	359363
757	121428	359159
758	121601	359037
759	121799	358988
760	121949	358796
761	122121	358670
762	122299	358563
763	122472	358440
764	122641	358306
765	122806	358158
766	122972	358014
767	123147	357897
768	123316	357763
769	123493	357650
770	123658	357502
771	123791	357264
772	123952	357104
773	124128	356990
774	124274	356788
775	124408	356550
776	124588	356447
777	124746	356280
778	124919	356155
779	125113	356092
780	125298	356002
781	125476	355890
782	125590	355600
783	125806	355596
784	125959	355414
785	126112	355233
786	126314	355189
787	126496	355090
788	126689	355020
789	126970	355195
790	127221	355286
791	127444	355298
792	127640	355235
793	127891	355326
794	128078	355237
795	128321	355301
796	128564	355366
797	128737	355239
798	128932	355170
799	129164	355202
800	129351	355111
801	129530	354996
802	129732	354946
803	129968	354987
804	130150	354883
805	130340	354797
806	130537	354733
807	130726	354644
808	130908	354536
809	131037	354287
810	131210	354154
811	131382	354020
812	131538	353843
813	131697	353672
814	131871	353546
815	132063	353465
816	132252	353374
817	132459	353333
818	132639	353218
819	132810	353082
820	132967	352906
821	133127	352738
822	133314	352644
823	133491	352520
824	133667	352395
825	133858	352310
826	134061	352256
827	134253	352171
828	134439	352072
829	134635	351998
830	134803	351851
831	134980	351728
832	135170	351638
833	135320	351442
834	135485	351289
835	135640	351108
836	135793	350921
837	135925	350682
838	136094	350536
839	136249	350355
840	136406	350181
841	136526	349910
842	136833	350117
843	136997	349959
844	137184	349861
845	137330	349656
846	137490	349488
847	137610	349218
848	137819	349174
849	137962	348963
850	138151	348868
851	138340	348773
852	138529	348679
853	138700	348538
854	138895	348457
855	139093	348384
856	139299	348331
857	139475	348201
858	139674	348129
859	139876	348065
860	140046	347921
861	140225	347798
862	140402	347670
